"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[injection number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[spectrum type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Rmsd]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Analysis date]"	"Factor Value[Season of sample collection]"
"subject_2514"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_008501.CDF"	"120803_Pivus_008501.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"103.3111448"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_2514"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_008502.CDF"	"120803_Pivus_008502.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"103.3111448"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_2507"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_008601.CDF"	"120803_Pivus_008601.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"100.4871659"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_2507"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_008602.CDF"	"120803_Pivus_008602.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"100.4871659"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_2494"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_008701.CDF"	"120803_Pivus_008701.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"109.8484884"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_2494"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_008702.CDF"	"120803_Pivus_008702.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"109.8484884"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_1606"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_008801.CDF"	"120803_Pivus_008801.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"99.74469086"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_1606"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_008802.CDF"	"120803_Pivus_008802.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"99.74469086"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_1574"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_008901.CDF"	"120803_Pivus_008901.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"97.02862136"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Spring"
"subject_1574"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_008902.CDF"	"120803_Pivus_008902.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"97.02862136"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Spring"
"subject_1596"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009001.CDF"	"120803_Pivus_009001.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"94.52776989"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_1596"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009002.CDF"	"120803_Pivus_009002.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"94.52776989"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_2497"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009101.CDF"	"120803_Pivus_009101.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"113.6737658"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_2497"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009102.CDF"	"120803_Pivus_009102.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"113.6737658"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_1584"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009201.CDF"	"120803_Pivus_009201.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"102.8026799"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_1584"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009202.CDF"	"120803_Pivus_009202.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"102.8026799"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_1553"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009301.CDF"	"120803_Pivus_009301.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"122.4610786"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Spring"
"subject_1553"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009302.CDF"	"120803_Pivus_009302.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"122.4610786"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Spring"
"subject_1605"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009401.CDF"	"120803_Pivus_009401.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"83.50540684"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_1605"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009402.CDF"	"120803_Pivus_009402.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"83.50540684"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_2500"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009501.CDF"	"120803_Pivus_009501.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"110.6219971"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_2500"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009502.CDF"	"120803_Pivus_009502.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"110.6219971"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_2504"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009601.CDF"	"120803_Pivus_009601.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"96.56758125"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_2504"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009602.CDF"	"120803_Pivus_009602.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"96.56758125"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_1527"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009701.CDF"	"120803_Pivus_009701.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"93.44854421"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Spring"
"subject_1527"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009702.CDF"	"120803_Pivus_009702.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"93.44854421"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Spring"
"subject_1617"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009801.CDF"	"120803_Pivus_009801.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"93.47632769"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_1617"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009802.CDF"	"120803_Pivus_009802.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"93.47632769"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_1564"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009901.CDF"	"120803_Pivus_009901.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"105.6274754"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Spring"
"subject_1564"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_009902.CDF"	"120803_Pivus_009902.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"105.6274754"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Spring"
"subject_1594"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_010001.CDF"	"120803_Pivus_010001.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"102.9795226"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_1594"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_010002.CDF"	"120803_Pivus_010002.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"102.9795226"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_1618"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_010101.CDF"	"120803_Pivus_010101.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MS1 spectrum"	""	""	"102.5612127"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
"subject_1618"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120803_Pivus_010102.CDF"	"120803_Pivus_010102.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 2"	""	""	"MSn spectrum"	""	""	"102.5612127"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"03/08/12"	"Summer"
